5837 0 285975060000
5838 0 285975060000
5839 0 285975060000
5840 0 285975060000
5835 0 285870949000
5835 1 285975060000
5836 0 285975060000
5828 0 285870949000
5828 1 285975060000
5829 0 285766836000
5829 1 285975060000
5830 0 285766836000
5830 1 285975060000
5831 0 285766836000
5831 1 285870949000
5831 2 285975060000
5832 0 285766836000
5832 1 285870949000
5832 2 285975060000
5833 0 285766836000
5833 1 285870949000
5833 2 285975060000
5834 0 285766836000
5834 1 285870949000
5834 2 285975060000
5825 0 285662723000
5825 1 285766836000
5825 2 285870949000
5825 3 285975060000
5826 0 285662723000
5826 1 285766836000
5826 2 285975060000
5827 0 285662723000
5827 1 285975060000
5822 0 285662723000
5822 1 285766836000
5822 2 285870949000
5822 3 285975060000
5823 0 285454526000
5823 1 285662723000
5823 2 285870949000
5823 3 285975060000
5824 0 285454526000
5824 1 285662723000
5824 2 285870949000
5824 3 285975060000
5819 0 285350439000
5819 1 285454526000
5819 2 285662723000
5819 3 285766836000
5819 4 285870949000
5819 5 285975060000
5820 0 285350439000
5821 0 285350439000
5821 1 285454526000
5821 2 285662723000
5821 3 285870949000
5821 4 285975060000
5817 0 285454526000
5818 0 285246328000
5818 1 285350439000
5818 2 285454526000
5818 3 285662723000
5818 4 285766836000
5818 5 285870949000
5818 6 285975060000
5816 0 284934069000
5816 1 285142242000
5807 0 284725895000
5807 1 284829983000
5807 2 284934069000
5807 3 285142242000
5808 0 284725895000
5808 1 284829983000
5809 0 284725895000
5809 1 284934069000
5809 2 285142242000
5809 3 285246328000
5809 4 285454526000
5809 5 285766836000
5809 6 285975060000
5810 0 284829983000
5810 1 285142242000
5810 2 285350439000
5810 3 285454526000
5811 0 284934069000
5812 0 284725895000
5812 1 284934069000
5812 2 285142242000
5812 3 285350439000
5812 4 285662723000
5813 0 284725895000
5813 1 284829983000
5813 2 284934069000
5813 3 285142242000
5813 4 285246328000
5813 5 285350439000
5813 6 285662723000
5813 7 285870949000
5813 8 285975060000
5814 0 284725895000
5814 1 284829983000
5814 2 285142242000
5814 3 285246328000
5814 4 285350439000
5814 5 285662723000
5814 6 285870949000
5814 7 285975060000
5815 0 284725895000
5815 1 284829983000
5815 2 284934069000
5815 3 285142242000
5815 4 285246328000
5815 5 285350439000
5815 6 285454526000
5815 7 285662723000
5815 8 285870949000
5815 9 285975060000
5806 0 284621806000
5802 0 284413587000
5802 1 284621806000
5802 2 284725895000
5802 3 284829983000
5802 4 284934069000
5802 5 285142242000
5802 6 285350439000
5803 0 284413587000
5803 1 284621806000
5803 2 284725895000
5804 0 284621806000
5804 1 285975060000
5805 0 284413587000
5805 1 284621806000
5805 2 284725895000
5805 3 284829983000
5805 4 284934069000
5805 5 285142242000
5799 0 285975060000
5800 0 284309477000
5800 1 284413587000
5800 2 284621806000
5800 3 284725895000
5800 4 284829983000
5800 5 285142242000
5800 6 285246328000
5800 7 285454526000
5800 8 285662723000
5800 9 285975060000
5801 0 284413587000
5801 1 285142242000
5801 2 285350439000
5801 3 285454526000
5801 4 285766836000
5801 5 285975060000
5796 0 284205368000
5796 1 284309477000
5796 2 284413587000
5796 3 284621806000
5796 4 284829983000
5796 5 285142242000
5796 6 285350439000
5796 7 285662723000
5796 8 285975060000
5797 0 284205368000
5797 1 284309477000
5797 2 284413587000
5797 3 284621806000
5797 4 284725895000
5797 5 284934069000
