0 2
1 1
2 5
3 5
4 0
5 3
6 5
7 4
8 2
9 3
10 3
11 3
12 3
13 0
14 0
15 0
16 2
17 4
18 0
19 0
20 5
21 0
22 3
23 4
24 4
25 1
26 2
27 5
28 1
29 3
30 0
31 5
32 3
33 0
34 5
35 1
36 5
37 0
38 5
39 1
40 5
41 10
42 1
43 0
44 5
45 5
46 1
47 2
48 6
49 2
50 1
51 3
52 1
53 0
54 6
55 6
56 0
57 0
58 0
59 0
60 0
61 5
62 1
63 5
64 5
65 5
66 0
67 1
68 0
69 3
70 1
71 2
72 2
73 5
74 5
75 5
76 5
77 6
78 5
79 0
80 6
81 1
82 5
83 0
84 0
85 2
86 5
87 3
88 0
89 0
90 2
91 1
92 6
93 5
94 0
95 6
96 5
97 0
98 2
99 0
100 0
101 5
102 5
103 0
